Make,Model,Modulation,Weight(oz),L(in),W(in),H(in),Torque(which_V),Torque(oz-in),Speed(which_V),Speed(s/60deg),Motor Type,Rotation,Gear Material,Typical Price
Futaba,BLS174SV,Digital,1.87,1.89,1.06,0.98,7.4,133.0,7.4,0.09,Brushless,Dual Bearings,Metal,149.99
Futaba,BLS174SV,Digital,1.87,1.89,1.06,0.98,6.6,122.0,6.6,0.10,Brushless,Dual Bearings,Metal,149.99
Futaba,BLS175HV,Digital,2.33,1.58,0.79,1.46,7.4,292.0,7.4,0.12,Brushless,Dual Bearings,Metal,139.00
Futaba,BLS175SV,Digital,2.33,1.58,0.79,1.46,6.0,250.0,6.0,0.15,Brushless,Dual Bearings,Metal,169.99
Futaba,BLS175SV,Digital,2.33,1.58,0.79,1.46,7.4,292.0,7.4,0.12,Brushless,Dual Bearings,Metal,169.99
Futaba,BLS175SV,Digital,2.33,1.58,0.79,1.46,6.6,270.0,6.6,0.13,Brushless,Dual Bearings,Metal,169.99
Futaba,BLS177SV,Digital,2.79,1.61,0.83,1.50,6.0,431.0,6.0,0.14,Brushless,Dual Bearings,Hybrid,239.99
Futaba,BLS177SV,Digital,2.79,1.61,0.83,1.50,7.4,514.0,7.4,0.11,Brushless,Dual Bearings,Hybrid,239.99
Futaba,BLS177SV,Digital,2.79,1.61,0.83,1.50,6.6,472.0,6.6,0.12,Brushless,Dual Bearings,Hybrid,239.99
Futaba,BLS251,Digital,2.10,1.57,0.79,1.45,4.8,53.0,4.8,0.06,Brushless,Dual Bearings,Metal,149.99
Futaba,BLS251SB,Digital,2.12,1.57,0.79,1.45,4.8,52.8,4.8,0.06,Brushless,Dual Bearings,Metal,169.99
Futaba,BLS252,Digital,2.05,1.57,0.79,1.46,4.8,139.0,4.8,0.16,Brushless,Dual Bearings,Metal,149.99
Futaba,BLS252,Digital,2.05,1.57,0.79,1.46,6.0,175.0,6.0,0.13,Brushless,Dual Bearings,Metal,149.99
Futaba,BLS253,Digital,2.05,1.57,0.79,1.46,4.8,117.0,4.8,0.13,Brushless,Dual Bearings,Metal,149.99
Futaba,BLS253,Digital,2.05,1.57,0.79,1.46,6.0,147.0,6.0,0.10,Brushless,Dual Bearings,Metal,149.99
Futaba,BLS254,Digital,1.80,1.57,0.79,1.45,4.8,53.0,4.8,0.06,Brushless,Dual Bearings,(add),85.00
Futaba,BLS255HV,Digital,2.12,1.58,0.79,1.45,6.0,147.2,6.0,0.10,Brushless,Dual Bearings,Plastic,(add)
Futaba,BLS255HV,Digital,2.12,1.58,0.79,1.45,7.4,166.7,7.4,0.08,Brushless,Dual Bearings,Plastic,(add)
Futaba,BLS256HV,Digital,2.15,1.58,0.79,1.45,6.0,61.1,6.0,0.06,Brushless,Dual Bearings,Plastic,(add)
Futaba,BLS256HV,Digital,2.15,1.58,0.79,1.45,7.4,69.5,7.4,0.05,Brushless,Dual Bearings,Plastic,(add)
Futaba,BLS257,Digital,0.92,1.42,0.59,1.10,4.8,36.0,4.8,0.07,Brushless,(add),Plastic,129.99
Futaba,BLS272HV,Digital,2.12,1.58,0.79,1.46,7.4,167.0,7.4,0.08,Brushless,Dual Bearings,Metal,95.00
Futaba,BLS272SV,Digital,2.12,1.58,0.79,1.46,6.0,147.0,6.0,0.10,Brushless,Dual Bearings,Metal,169.99
Futaba,BLS272SV,Digital,2.12,1.58,0.79,1.46,7.4,167.0,7.4,0.08,Brushless,Dual Bearings,Metal,169.99
Futaba,BLS272SV,Digital,2.12,1.58,0.79,1.46,6.6,156.0,6.6,0.09,Brushless,Dual Bearings,Metal,169.99
Futaba,BLS273SV,Digital,2.54,1.61,0.83,1.50,6.0,172.0,6.0,0.09,Brushless,Dual Bearings,Plastic,249.99
Futaba,BLS273SV,Digital,2.54,1.61,0.83,1.50,7.4,211.0,7.4,0.07,Brushless,Dual Bearings,Plastic,249.99
Futaba,BLS273SV,Digital,2.54,1.61,0.83,1.50,6.6,189.0,6.6,0.08,Brushless,Dual Bearings,Plastic,249.99
Futaba,BLS274SV,Digital,1.87,1.58,0.79,1.46,6.0,56.0,6.0,0.06,Brushless,Dual Bearings,Plastic,154.99
Futaba,BLS274SV,Digital,1.87,1.58,0.79,1.46,7.4,70.0,7.4,0.05,Brushless,Dual Bearings,Plastic,154.99
Futaba,BLS274SV,Digital,1.87,1.58,0.79,1.46,6.6,61.0,6.6,0.06,Brushless,Dual Bearings,Plastic,154.99
Futaba,BLS275SV,Digital,2.72,1.61,0.83,1.50,6.0,172.0,6.0,0.09,Brushless,Dual Bearings,Hybrid,249.99
Futaba,BLS275SV,Digital,2.72,1.61,0.83,1.50,7.4,211.0,7.4,0.07,Brushless,Dual Bearings,Hybrid,249.99
Futaba,BLS275SV,Digital,2.72,1.61,0.83,1.50,6.6,189.0,6.6,0.08,Brushless,Dual Bearings,Hybrid,249.99
Futaba,BLS276SV,Digital,2.12,1.57,0.79,1.45,6.0,56.0,6.0,0.06,Brushless,Dual Bearings,Metal,179.99
Futaba,BLS276SV,Digital,2.12,1.57,0.79,1.45,7.4,69.5,7.4,0.05,Brushless,Dual Bearings,Metal,179.99
Futaba,BLS276SV,Digital,2.12,1.57,0.79,1.45,6.6,61.1,6.6,0.06,Brushless,Dual Bearings,Metal,179.99
Futaba,BLS351,Digital,2.22,1.57,0.79,1.46,4.8,173.0,4.8,0.16,Brushless,Dual Bearings,Metal,149.00
Futaba,BLS351,Digital,2.22,1.57,0.79,1.46,6.0,217.0,6.0,0.13,Brushless,Dual Bearings,Metal,149.00
Futaba,BLS352,Digital,2.22,1.57,0.79,1.46,4.8,200.0,4.8,0.19,Brushless,Dual Bearings,Hybrid,159.00
Futaba,BLS352,Digital,2.22,1.57,0.79,1.46,6.0,250.0,6.0,0.15,Brushless,Dual Bearings,Hybrid,159.00
Futaba,BLS371SV,Digital,2.22,1.57,0.79,1.45,4.8,176.0,4.8,0.16,Brushless,Dual Bearings,Metal,159.99
Futaba,BLS371SV,Digital,2.22,1.57,0.79,1.45,6.0,219.5,6.0,0.13,Brushless,Dual Bearings,Metal,159.99
Futaba,BLS371SV,Digital,2.22,1.57,0.79,1.45,7.4,263.9,7.4,0.10,Brushless,Dual Bearings,Metal,159.99
Futaba,BLS371SV,Digital,2.22,1.57,0.79,1.45,6.6,239.0,6.6,0.12,Brushless,Dual Bearings,Metal,159.99
Futaba,BLS373SV,(add),2.96,1.59,0.82,1.57,6.0,430.7,6.0,0.14,(add),(add),(add),229.99
Futaba,BLS373SV,(add),2.96,1.59,0.82,1.57,7.4,513.9,7.4,0.11,(add),(add),(add),229.99
Futaba,BLS451,Digital,2.05,1.57,0.79,1.46,4.8,118.0,4.8,0.13,Brushless,Dual Bearings,Metal,99.99
Futaba,BLS451,Digital,2.05,1.57,0.79,1.46,6.0,147.0,6.0,0.10,Brushless,Dual Bearings,Metal,99.99
Futaba,BLS452,Digital,2.05,1.57,0.79,1.46,4.8,156.0,4.8,0.18,Brushless,(add),Metal,99.99
Futaba,BLS452,Digital,2.05,1.57,0.79,1.46,6.0,194.0,6.0,0.14,Brushless,(add),Metal,99.99
Futaba,BLS471SV,Digital,2.01,1.57,0.79,1.45,4.8,127.0,4.8,0.11,Brushless,Dual Bearings,Metal,169.99
Futaba,BLS471SV,Digital,2.01,1.57,0.79,1.45,6.0,158.4,6.0,0.09,Brushless,Dual Bearings,Metal,169.99
Futaba,BLS471SV,Digital,2.01,1.57,0.79,1.45,7.4,191.7,7.4,0.07,Brushless,Dual Bearings,Metal,169.99
Futaba,BLS471SV,Digital,2.01,1.57,0.79,1.45,6.6,174.0,6.6,0.08,Brushless,Dual Bearings,Metal,169.99
