Make,Model,Modulation,Weight(oz),L(in),W(in),H(in),Torque(which_V),Torque(oz-in),Speed(which_V),Speed(s/60deg),Motor Type,Rotation,Gear Material,Typical Price
CYS,S8205,Analog,0.95,1.19,0.39,1.4,4.8,52.8,4.8,0.12,Coreless,(add),Metal,(add)
CYS,S8205,Analog,0.95,1.19,0.39,1.4,6.0,55.6,6.0,0.1,Coreless,(add),Metal,(add)
CYS,S8219,Digital,1.76,1.58,0.79,1.44,4.8,55.6,4.8,0.08,(add),(add),Plastic,(add)
CYS,S8219,Digital,1.76,1.58,0.79,1.44,6.0,62.5,6.0,0.06,(add),(add),Plastic,(add)
CYS,S8219A,Digital,1.76,1.58,0.79,1.44,4.8,55.6,4.8,0.08,(add),(add),Titanium,(add)
CYS,S8219A,Digital,1.76,1.58,0.79,1.44,6.0,62.5,6.0,0.06,(add),(add),Titanium,(add)
DuraTrax,SX210MG,(add),2.12,1.57,0.79,1.5,4.8,76.0,4.8,0.18,(add),Dual Bearings,Metal,(add)
DuraTrax,SX210MG,(add),2.12,1.57,0.79,1.5,6.0,95.0,6.0,0.15,(add),Dual Bearings,Metal,(add)
Dymond,D2000,Digital,1.13,1.26,0.67,1.38,4.8,70.0,4.8,0.14,(add),Single Bearing,Metal,19.95
Dymond,D2500,Digital,1.13,1.26,0.67,1.38,4.8,75.0,4.8,0.14,(add),Single Bearing,Metal,24.95
Dymond,D3500,Digital,0.92,1.4,0.67,1.38,4.8,63.0,4.8,0.08,(add),Single Bearing,Metal,19.95
Dymond,D4000,Analog,1.41,1.61,0.79,1.5,4.8,65.0,4.8,0.18,(add),Single Bearing,Plastic,9.95
Dymond,D4500,Analog,1.45,1.58,0.79,1.52,4.8,77.0,4.8,0.13,(add),Single Bearing,Plastic,12.95
Dynam,B2232,Analog,1.20,2.17,0.79,1.77,6.0,56.9,6.0,0.16,(add),Single Bearing,Plastic,8.00
DYS,DYS0210,Analog,1.41,1.67,0.82,1.55,4.8,83.3,4.8,0.16,(add),Dual Bearings,Plastic,12.00
DYS,DYS0218MG,Analog,1.83,1.67,0.82,1.55,4.8,83.3,4.8,0.16,(add),Dual Bearings,Metal,(add)
DYS,DYS3003,Analog,1.31,1.67,0.82,1.47,6.0,56.9,6.0,0.23,(add),Bushing,Plastic,(add)
Eurgle,15_08a,Analog,1.52,1.69,0.91,1.11,4.8,70.0,4.8,0.33,(add),Bushing,Plastic,4.72
Eurgle,15_08a,Analog,1.52,1.69,0.91,1.11,6.0,84.0,6.0,0.3,(add),Bushing,Plastic,4.72
Eurgle,15_08b,Analog,1.52,1.69,0.91,1.11,4.8,56.0,4.8,0.25,(add),Bushing,Plastic,4.72
Eurgle,15_08b,Analog,1.52,1.69,0.91,1.11,6.0,70.0,6.0,0.2,(add),Bushing,Plastic,4.72
Eurgle,16_01,Analog,1.20,1.59,0.8,1.33,6.0,56.0,6.0,0.18,(add),Bushing,Plastic,6.03
Eurgle,16_02a,Analog,1.38,1.6,0.79,1.13,4.8,70.0,4.8,0.18,(add),Bushing,Plastic,6.37
Eurgle,16_18MB,Analog,2.03,1.69,0.91,1.53,4.8,91.0,4.8,0.25,(add),Single Bearing,Metal,12.56
Eurgle,16_18MB,Analog,2.03,1.69,0.91,1.53,6.0,98.0,6.0,0.2,(add),Single Bearing,Metal,12.56
EXI,B1221,Analog,1.52,1.54,0.76,1.52,6.0,62.5,6.0,0.23,Brushed,Single Bearing,Plastic,7.95
EXI,D122F,Digital,1.31,1.54,0.76,1.52,6.0,83.3,6.0,0.17,Brushed,Single Bearing,Plastic,12.95
EXI,D124F,Digital,1.76,1.54,0.76,1.52,6.0,90.3,6.0,0.17,Brushed,Single Bearing,Metal,17.95
