Make,Model,Modulation,Weight(oz),L(in),W(in),H(in),Torque(which_V),Torque(oz-in),Speed(which_V),Speed(s/60deg),Motor Type,Rotation,Gear Material,Typical Price
Airtronics/ Sanwa,94951,Digital,2.22,1.59,0.83,1.50,6.0,205.0,6.0,0.12,Coreless,Dual Bearings,Metal,179.99
Airtronics/ Sanwa,97738Z,Analog,1.94,1.54,0.79,1.38,4.8,70.0,4.8,0.20,(add),Dual Bearings,Hybrid,(add)
Airtronics/ Sanwa,97738Z,Analog,1.94,1.54,0.79,1.38,6.0,88.0,6.0,0.16,(add),Dual Bearings,Hybrid,(add)
Align,18G,Analog,0.67,1.18,0.45,1.22,4.8,27.8,4.8,0.16,(add),(add),(add),11.99
Align,36G,(add),1.27,1.42,0.79,1.42,4.8,34.7,4.8,0.15,(add),(add),(add),10.48
Align,6G,(add),0.21,0.81,0.43,0.87,4.8,9.0,4.8,0.13,(add),(add),(add),11.10
Align,6X,(add),0.21,0.83,0.47,0.79,4.8,9.7,4.8,0.10,(add),(add),(add),11.10
Align,9G,(add),0.32,0.87,0.41,1.42,4.8,13.9,4.8,0.13,(add),(add),(add),11.10
Align,9XP,Analog,0.32,0.94,0.49,0.94,4.8,18.1,4.8,0.11,(add),(add),(add),11.99
Align,DS410,Digital,0.45,0.93,0.49,1.04,4.8,25.0,4.8,0.13,(add),Single Bearing,Plastic,27.99
Align,DS410,Digital,0.45,0.93,0.49,1.04,6.0,30.6,6.0,0.09,(add),Single Bearing,Plastic,27.99
Align,DS410M,Digital,0.47,0.93,0.49,1.04,4.8,25.0,4.8,0.13,(add),Single Bearing,Metal,34.99
Align,DS410M,Digital,0.47,0.93,0.49,1.04,6.0,30.6,6.0,0.09,(add),Single Bearing,Metal,34.99
Align,DS420,Digital,0.45,0.93,0.49,1.04,4.8,10.4,4.8,0.08,Coreless,Single Bearing,Metal,27.99
Align,DS420,Digital,0.45,0.93,0.49,1.04,6.0,13.9,6.0,0.06,Coreless,Single Bearing,Metal,27.99
Align,DS510,Digital,0.91,1.38,0.59,1.15,4.8,51.4,4.8,0.13,Coreless,Dual Bearings,Plastic,49.99
Align,DS510,Digital,0.91,1.38,0.59,1.15,6.0,63.9,6.0,0.11,Coreless,Dual Bearings,Plastic,49.99
Align,DS510M,Digital,1.02,1.38,0.59,1.15,4.8,51.4,4.8,0.13,Coreless,Dual Bearings,Metal,62.99
Align,DS510M,Digital,1.02,1.38,0.59,1.15,6.0,63.9,6.0,0.11,Coreless,Dual Bearings,Metal,62.99
Align,DS520,Digital,0.91,1.43,0.61,1.19,4.8,26.4,4.8,0.09,Coreless,(add),Plastic,49.99
Align,DS520,Digital,0.91,1.43,0.61,1.19,6.0,34.7,6.0,0.07,Coreless,(add),Plastic,49.99
Align,DS610,Digital,1.85,1.64,0.82,1.47,4.8,133.3,4.8,0.10,Coreless,Dual Bearings,Titanium,67.99
Align,DS610,Digital,1.85,1.64,0.82,1.47,6.0,166.6,6.0,0.08,Coreless,Dual Bearings,Titanium,67.99
Align,DS620,Digital,1.84,1.64,0.82,1.47,4.8,111.1,4.8,0.09,Coreless,Dual Bearings,Titanium,67.99
Align,DS620,Digital,1.84,1.64,0.82,1.47,6.0,138.9,6.0,0.07,Coreless,Dual Bearings,Titanium,67.99
Align,DS650,Digital,1.98,1.64,0.82,1.47,4.8,55.5,4.8,0.06,Coreless,Dual Bearings,Metal,75.99
Align,DS650,Digital,1.98,1.64,0.82,1.47,6.0,69.4,6.0,0.05,Coreless,Dual Bearings,Metal,75.99
